title,number of occurences
1. Date with Romance,4
2. Meeting at the Pringles',16
3. Mrs. Ramsay's War,6
4. In Clover,7
5. It's the Real Thing This Time,9
"6. This Flower, Safety",19
7. As the Fruitful Vine,11
8. Lunch with Mr. Biddle,9
9. Battle of the Greeks,15
10. Fin de Siecle,14
11. Literary Scandal at the Sewing Party,2
"12. Goodbye, My Love",7
13. War Among Strangers,17
14. Combined Operations,0
"15. Good Evening, Mrs. Craven",7
16. The Hunger of Miss Burton,8
17. It's the Reaction,2
18. Cut down the Trees,7
19. Year of Decision,21
20. The Danger,8
21. The Waste of it All,9
